Timestamp,EAR,MAR,HeadTilt,Status
07:52:19,0.304,0.823,5.25,Yawning
07:52:19,0.266,0.841,5.43,Yawning
07:52:19,0.215,0.839,6.06,Eyes Closed
07:52:19,0.165,0.855,6.03,Eyes Closed
07:52:19,0.145,0.841,6.06,Eyes Closed
07:52:19,0.166,0.901,5.4,Eyes Closed
07:52:19,0.223,0.883,5.4,Eyes Closed
07:52:19,0.207,0.871,5.71,Eyes Closed
07:52:19,0.24,0.848,5.37,Eyes Closed
07:52:19,0.229,0.868,5.68,Eyes Closed
07:52:19,0.251,0.868,5.34,Yawning
07:52:19,0.238,0.82,5.68,Eyes Closed
07:52:19,0.246,0.869,5.4,Eyes Closed
07:52:19,0.254,0.839,5.65,Yawning
07:52:19,0.263,0.839,5.34,Yawning
07:52:19,0.28,0.864,5.34,Yawning
07:52:19,0.272,0.864,5.62,Yawning
07:52:19,0.278,0.865,5.34,Yawning
07:52:20,0.289,0.869,5.31,Yawning
07:52:20,0.286,0.875,5.34,Yawning
07:52:20,0.278,0.848,5.37,Yawning
07:52:20,0.282,0.845,5.93,Yawning
07:52:20,0.304,0.849,5.59,Yawning
07:52:20,0.299,0.841,4.66,Yawning
07:52:20,0.321,0.849,5.31,Yawning
07:52:20,0.312,0.854,5.59,Yawning
07:52:20,0.313,0.859,5.34,Yawning
07:52:20,0.312,0.816,5.31,Yawning
07:52:20,0.309,0.824,5.56,Yawning
07:52:20,0.296,0.886,5.02,Yawning
07:52:20,0.302,0.882,5.59,Yawning
07:52:20,0.288,0.851,5.31,Yawning
07:52:20,0.28,0.841,4.69,Yawning
07:52:20,0.276,0.882,4.33,Yawning
07:52:20,0.289,0.824,3.79,Yawning
07:52:20,0.283,0.857,4.13,Yawning
07:52:20,0.305,0.82,4.42,Yawning
07:52:20,0.279,0.852,4.45,Yawning
07:52:20,0.295,0.857,3.81,Yawning
07:52:20,0.28,0.885,4.2,Yawning
07:52:20,0.287,0.846,4.2,Yawning
07:52:20,0.266,0.816,3.9,Yawning
07:52:20,0.261,0.855,3.56,Yawning
07:52:20,0.254,0.835,3.6,Yawning
07:52:20,0.253,0.826,3.64,Yawning
07:52:20,0.242,0.877,4.32,Eyes Closed
07:52:20,0.214,0.83,4.35,Eyes Closed
07:52:21,0.233,0.882,5.07,Eyes Closed
07:52:21,0.218,0.91,5.41,Eyes Closed
07:52:21,0.236,0.916,6.79,Eyes Closed
07:52:21,0.212,0.914,8.18,Eyes Closed
07:52:21,0.186,0.887,8.18,Eyes Closed
07:52:21,0.191,0.876,11.91,Eyes Closed
07:52:21,0.18,0.877,13.3,Eyes Closed
07:52:21,0.193,0.861,15.76,Eyes Closed
07:52:21,0.178,0.914,19.27,Eyes Closed
07:52:21,0.157,0.888,21.99,Eyes Closed
07:52:21,0.216,0.911,26.11,Eyes Closed
07:52:21,0.176,0.867,29.28,Eyes Closed
07:52:21,0.214,0.843,29.7,Eyes Closed
07:52:21,0.211,0.886,32.68,Eyes Closed
07:52:21,0.22,0.876,32.57,Eyes Closed
07:52:21,0.229,0.894,32.57,Eyes Closed
07:52:21,0.207,0.901,33.87,Eyes Closed
07:52:21,0.209,0.873,34.14,Eyes Closed
07:52:21,0.236,0.84,36.41,Eyes Closed
07:52:21,0.222,0.89,36.67,Eyes Closed
07:52:21,0.216,0.864,36.67,Eyes Closed
07:52:21,0.205,0.873,37.19,Eyes Closed
07:52:21,0.217,0.874,36.93,Eyes Closed
07:52:21,0.231,0.88,38.76,Eyes Closed
07:52:21,0.22,0.875,38.3,Eyes Closed
07:52:21,0.229,0.857,38.3,Eyes Closed
07:52:21,0.236,0.826,38.76,Eyes Closed
07:52:21,0.227,0.865,37.99,Eyes Closed
07:52:21,0.226,0.865,38.25,Eyes Closed
07:52:21,0.254,0.877,37.27,Yawning
07:52:21,0.23,0.857,36.34,Eyes Closed
07:52:22,0.225,0.858,35.35,Eyes Closed
07:52:22,0.211,0.893,33.41,Eyes Closed
07:52:22,0.211,0.867,31.54,Eyes Closed
07:52:22,0.203,0.851,30.04,Eyes Closed
07:52:22,0.22,0.861,25.06,Eyes Closed
07:52:22,0.226,0.865,23.86,Eyes Closed
07:52:22,0.184,0.866,21.61,Eyes Closed
07:52:22,0.163,0.87,17.56,Eyes Closed
07:52:22,0.182,0.839,13.46,Eyes Closed
07:52:22,0.148,0.862,8.51,Eyes Closed
07:52:22,0.158,0.861,5.38,Eyes Closed
07:52:22,0.208,0.836,0.0,Eyes Closed
07:52:22,0.173,0.908,4.06,Eyes Closed
07:52:22,0.206,0.872,7.8,Eyes Closed
07:52:22,0.212,0.874,10.52,Eyes Closed
07:52:22,0.208,0.87,13.79,Eyes Closed
07:52:22,0.218,0.842,16.04,Eyes Closed
07:52:22,0.194,0.902,18.02,Eyes Closed
07:52:22,0.233,0.939,20.37,Eyes Closed
07:52:22,0.218,0.834,22.59,Eyes Closed
07:52:22,0.209,0.841,24.18,Eyes Closed
07:52:22,0.235,0.846,26.71,Eyes Closed
07:52:22,0.262,0.837,27.13,Yawning
07:52:22,0.25,0.834,28.54,Yawning
07:52:22,0.264,0.837,29.39,Yawning
07:52:22,0.261,0.85,30.21,Yawning
07:52:22,0.238,0.816,30.32,Eyes Closed
07:52:22,0.251,0.813,30.53,Yawning
07:52:22,0.265,0.858,29.63,Yawning
07:52:22,0.249,0.834,29.63,Eyes Closed
07:52:23,0.254,0.846,29.36,Yawning
07:52:23,0.269,0.872,28.93,Yawning
07:52:23,0.275,0.856,27.4,Yawning
07:52:23,0.269,0.886,26.15,Yawning
07:52:23,0.273,0.901,25.46,Yawning
07:52:23,0.256,0.866,23.96,Yawning
07:52:23,0.272,0.851,22.48,Yawning
07:52:23,0.273,0.877,20.56,Yawning
07:52:23,0.283,0.907,18.63,Yawning
07:52:23,0.282,0.874,16.88,Yawning
07:52:23,0.275,0.876,15.01,Yawning
07:52:23,0.292,0.922,12.46,Yawning
07:52:23,0.307,0.864,10.53,Yawning
07:52:23,0.3,0.941,8.96,Yawning
07:52:23,0.307,0.902,7.7,Yawning
07:52:23,0.312,0.893,5.53,Yawning
07:52:23,0.293,0.919,3.69,Yawning
07:52:23,0.324,0.899,2.76,Yawning
07:52:23,0.31,0.877,1.55,Yawning
07:52:23,0.305,0.877,0.61,Yawning
07:52:23,0.306,0.849,0.3,Yawning
07:52:23,0.297,0.9,0.91,Yawning
07:52:23,0.302,0.978,0.61,Yawning
07:52:23,0.304,0.874,2.45,Yawning
07:52:23,0.315,0.875,2.45,Yawning
07:52:23,0.309,0.863,2.74,Yawning
07:52:23,0.312,0.901,3.35,Yawning
07:52:23,0.314,0.865,3.65,Yawning
07:52:23,0.307,0.889,3.37,Yawning
07:52:23,0.316,0.892,4.0,Yawning
07:52:24,0.328,0.846,4.3,Yawning
07:52:24,0.317,0.833,3.69,Yawning
07:52:24,0.327,0.872,4.3,Yawning
07:52:24,0.317,0.846,4.26,Yawning
07:52:24,0.305,0.872,3.35,Yawning
07:52:24,0.28,0.949,3.44,Yawning
07:52:24,0.276,0.914,4.33,Yawning
07:52:24,0.29,0.899,3.31,Yawning
07:52:24,0.286,0.88,3.26,Yawning
07:52:24,0.308,0.919,2.59,Yawning
07:52:24,0.328,0.862,3.12,Yawning
07:52:24,0.327,0.831,3.06,Yawning
07:52:24,0.32,0.814,2.78,Yawning
07:52:24,0.321,0.866,2.75,Yawning
07:52:24,0.319,0.868,2.44,Yawning
07:52:24,0.301,0.84,2.16,Yawning
07:52:24,0.307,0.85,1.86,Yawning
07:52:24,0.327,0.879,2.89,Yawning
07:52:24,0.309,0.842,1.8,Yawning
07:52:24,0.318,0.902,1.54,Yawning
07:52:24,0.321,0.879,1.27,Yawning
07:52:24,0.331,0.904,2.05,Yawning
07:52:24,0.303,0.947,3.14,Yawning
07:52:24,0.239,0.927,3.18,Eyes Closed
07:52:24,0.191,0.923,2.64,Eyes Closed
07:52:24,0.246,0.889,1.86,Eyes Closed
07:52:24,0.272,0.873,2.13,Yawning
07:52:24,0.306,0.899,1.58,Yawning
07:52:24,0.32,0.921,1.32,Yawning
07:52:24,0.31,0.929,2.14,Yawning
07:52:25,0.323,0.883,1.6,Yawning
07:52:25,0.314,0.92,1.86,Yawning
07:52:25,0.319,0.857,1.61,Yawning
07:52:25,0.321,0.844,1.6,Yawning
07:52:25,0.325,0.961,1.59,Yawning
07:52:25,0.319,0.942,1.58,Yawning
07:52:25,0.335,0.925,1.31,Yawning
07:52:25,0.32,0.953,1.58,Yawning
07:52:25,0.337,0.884,1.58,Yawning
07:52:25,0.322,0.882,2.11,Yawning
07:52:25,0.317,0.939,2.14,Yawning
07:52:25,0.335,0.93,1.87,Yawning
07:52:25,0.32,0.911,1.34,Yawning
07:52:25,0.329,0.922,1.08,Yawning
07:52:25,0.332,0.904,2.42,Yawning
07:52:25,0.323,0.933,1.09,Yawning
07:52:25,0.328,0.865,1.64,Yawning
07:52:25,0.331,0.891,1.89,Yawning
07:52:25,0.331,0.891,1.89,Yawning
07:52:25,0.323,0.879,1.89,Yawning
07:52:25,0.324,0.856,1.88,Yawning
07:52:25,0.342,0.886,2.15,Yawning
07:52:25,0.338,0.878,1.89,Yawning
07:52:25,0.326,0.888,2.16,Yawning
07:52:25,0.34,0.891,1.62,Yawning
07:52:25,0.307,0.889,1.9,Yawning
07:52:25,0.318,0.894,2.19,Yawning
07:52:25,0.31,0.882,1.9,Yawning
07:52:25,0.325,0.886,2.18,Yawning
07:52:25,0.309,0.926,1.64,Yawning
07:52:26,0.32,0.855,1.9,Yawning
07:52:26,0.291,0.923,1.9,Yawning
07:52:26,0.338,0.901,2.16,Yawning
07:52:26,0.332,0.904,1.07,Yawning
07:52:26,0.325,0.893,1.61,Yawning
07:52:26,0.32,0.907,1.33,Yawning
07:52:26,0.341,0.88,0.8,Yawning
07:52:26,0.312,0.897,1.58,Yawning
07:52:26,0.312,0.892,2.58,Yawning
07:52:26,0.326,0.869,1.77,Yawning
07:52:26,0.334,0.897,1.25,Yawning
